Count_Oospores_BF,Count_Oospores_dual,Count_Oospores_green,Count_Oospores_red,Count_Oospores_unstained,FileName_BF_raw,ImageNumber
203.0,0.0,0.0,169.0,34.0,3770 0% BF.tif,1
258.0,1.0,217.0,2.0,38.0,3770 100% BF.tif,2
228.0,30.0,51.0,93.0,54.0,3770 25% BF.tif,3
231.0,14.0,102.0,44.0,71.0,3770 50% BF.tif,4
198.0,11.0,135.0,18.0,34.0,3770 75% BF.tif,5
40.0,0.0,0.0,21.0,19.0,3772 0% BF.tif,6
96.0,5.0,59.0,6.0,26.0,3772 100% BF.tif,7
119.0,4.0,16.0,77.0,22.0,3772 25% BF.tif,8
174.0,62.0,67.0,24.0,21.0,3772 50% BF.tif,9
109.0,18.0,50.0,18.0,23.0,3772 75% BF.tif,10
265.0,0.0,0.0,214.0,51.0,3770 0% BF.tif,11
202.0,8.0,62.0,21.0,111.0,3770 100% BF.tif,12
221.0,1.0,17.0,133.0,70.0,3770 25% BF.tif,13
198.0,0.0,25.0,81.0,92.0,3770 50% BF.tif,14
184.0,2.0,39.0,11.0,132.0,3770 75% BF.tif,15
196.0,0.0,0.0,138.0,58.0,3772 0% BF.tif,16
82.0,9.0,2.0,52.0,19.0,3772 100% BF.tif,17
162.0,0.0,14.0,87.0,61.0,3772 25% BF.tif,18
124.0,2.0,17.0,56.0,49.0,3772 50% BF.tif,19
169.0,14.0,10.0,97.0,48.0,3772 75% BF.tif,20
393.0,2.0,1.0,291.0,99.0,3770 0% BF.tif,21
223.0,7.0,184.0,2.0,30.0,3770 100% BF.tif,22
141.0,8.0,16.0,90.0,27.0,3770 25% BF.tif,23
166.0,12.0,63.0,60.0,31.0,3770 50% BF.tif,24
217.0,36.0,88.0,59.0,34.0,3770 75% BF.tif,25
207.0,0.0,0.0,139.0,68.0,3772 0% BF.tif,26
75.0,34.0,17.0,14.0,10.0,3772 100% BF.tif,27
83.0,1.0,5.0,44.0,33.0,3772 25% BF.tif,28
61.0,3.0,20.0,20.0,18.0,3772 50% BF.tif,29
114.0,7.0,33.0,45.0,29.0,3772 75% BF.tif,30
