Count_Oospores_BF,Count_Oospores_dual,Count_Oospores_green,Count_Oospores_red,Count_Oospores_unstained,FileName_BF_raw,ImageNumber
39,31,0,2,6,20200626_3770 FUN-1 40uM 37C 24h Non-viable 1_175_BF.tif,1
39,31,0,4,4,20200626_3770 FUN-1 40uM 37C 24h Non-viable 2_178_BF.tif,2
33,24,0,3,6,20200626_3770 FUN-1 40uM 37C 24h Non-viable 3_181_BF.tif,3
45,6,1,19,19,20200626_3770 FUN-1 40uM 37C 24h Viable 1_166_BF.tif,4
16,5,0,11,0,20200626_3770 FUN-1 40uM 37C 24h Viable 2_169_BF.tif,5
56,13,1,30,12,20200626_3770 FUN-1 40uM 37C 24h Viable 3_172_BF.tif,6
67,2,41,0,24,20200629_3770 SYTO9 2uM 37C 4h Non-viable 1_248_BF.tif,7
35,0,30,0,5,20200629_3770 SYTO9 2uM 37C 4h Non-viable 2_251_BF.tif,8
58,0,38,0,20,20200629_3770 SYTO9 2uM 37C 4h Non-viable 3_254_BF.tif,9
32,0,5,0,27,20200629_3770 SYTO9 2uM 37C 4h Viable 1_239_BF.tif,10
27,0,3,0,24,20200629_3770 SYTO9 2uM 37C 4h Viable 2_242_BF.tif,11
18,0,2,0,16,20200629_3770 SYTO9 2uM 37C 4h Viable 3_245_BF.tif,12
112,6,0,105,1,20200630_3770 PI 20uM 37C 4h Non-viable 1_393_BF.tif,13
148,11,0,127,10,20200630_3770 PI 20uM 37C 4h Non-viable 2_396_BF.tif,14
167,6,0,149,12,20200630_3770 PI 20uM 37C 4h Non-viable 3_399_BF.tif,15
35,0,0,34,1,20200630_3770 PI 20uM 37C 4h Viable 1_384_BF.tif,16
120,1,0,53,66,20200630_3770 PI 20uM 37C 4h Viable 2_387_BF.tif,17
64,1,0,54,9,20200630_3770 PI 20uM 37C 4h Viable 3_390_BF.tif,18
54,0,0,1,53,20200701_3770 FDA 200uM 37C 24h Non-viable 1_542_BF.tif,19
78,0,1,2,75,20200701_3770 FDA 200uM 37C 24h Non-viable 2_545_BF.tif,20
93,0,1,2,90,20200701_3770 FDA 200uM 37C 24h Non-viable 3_548_BF.tif,21
38,0,17,0,21,20200701_3770 FDA 200uM 37C 24h Viable 1_533_BF.tif,22
49,0,29,0,20,20200701_3770 FDA 200uM 37C 24h Viable 2_536_BF.tif,23
66,0,36,0,30,20200701_3770 FDA 200uM 37C 24h Viable 3_539_BF.tif,24
88,0,0,61,27,20200715_3770 20uM DiTO-3 37C 4h Non-viable 1_101_BF.tif,25
67,0,0,44,23,20200715_3770 20uM DiTO-3 37C 4h Non-viable 2_107_BF.tif,26
103,1,0,72,30,20200715_3770 20uM DiTO-3 37C 4h Non-viable 3_104_BF.tif,27
34,0,0,12,22,20200715_3770 20uM DiTO-3 37C 4h Viable 1_167_BF.tif,28
42,0,0,17,25,20200715_3770 20uM DiTO-3 37C 4h Viable 2_170_BF.tif,29
46,0,0,11,35,20200715_3770 20uM DiTO-3 37C 4h Viable 3_173_BF.tif,30
117,1,93,0,23,20200715_3770 DualStain 1 37C 4h Viable 2_173_BF.tif,31
78,0,74,0,4,20200715_3770 DualStain 1 37C 4h Viable 2_173_BF.tif,32
202,1,149,6,46,20200715_3770 DualStain 1 37C 4h Viable 2_173_BF.tif,33
63,0,55,0,8,20200715_3770 DualStain 1 37C 4h Viable 2_173_BF.tif,34
104,2,0,82,20,20200715_3770 DualStain 2 37C 4h Non-Viable 2_173_BF.tif,35
57,1,0,54,2,20200715_3770 DualStain 2 37C 4h Non-Viable 2_173_BF.tif,36
119,0,1,82,36,20200715_3770 DualStain 2 37C 4h Non-Viable 2_173_BF.tif,37
57,1,0,46,10,20200715_3770 DualStain 2 37C 4h Non-Viable 2_173_BF.tif,38
